Date,Open,High,Low,Close,Adj Close,Volume,A,R
1987-12-04,9.07,9.07,9.07,9.07,1.148451,0,0.110%,0.110%
1987-12-07,9,9,9,9,1.139587,0,-0.772%,-0.772%
1987-12-08,8.98,8.98,8.98,8.98,1.137055,0,-0.222%,-0.222%
1987-12-09,8.99,8.99,8.99,8.99,1.138322,0,0.111%,0.111%
1987-12-10,8.87,8.87,8.87,8.87,1.123126,0,-1.335%,-1.335%
1987-12-11,8.85,8.85,8.85,8.85,1.120594,0,-0.225%,-0.225%
1987-12-14,8.86,8.86,8.86,8.86,1.121861,0,0.113%,0.113%
1987-12-15,8.96,8.96,8.96,8.96,1.134522,0,1.129%,1.129%
1987-12-16,9.04,9.04,9.04,9.04,1.144652,0,0.893%,0.893%
1987-12-17,9.04,9.04,9.04,9.04,1.144652,0,0.000%,0.000%
1987-12-18,9.11,9.11,9.11,9.11,1.153515,0,0.774%,0.774%
1987-12-21,9.1,9.1,9.1,9.1,1.15225,0,-0.110%,-0.110%
1987-12-22,9.09,9.09,9.09,9.09,1.150983,0,-0.110%,-0.110%
1987-12-23,9.17,9.17,9.17,9.17,1.161113,0,0.880%,0.880%
1987-12-24,9.17,9.17,9.17,9.17,1.161113,0,0.000%,0.000%
1987-12-28,9.12,9.12,9.12,9.12,1.154781,0,-0.545%,-0.545%
1987-12-29,9.13,9.13,9.13,9.13,1.156049,0,0.110%,0.110%
1987-12-30,9.18,9.18,9.18,9.18,1.162379,0,0.548%,0.548%
1987-12-31,9.13,9.13,9.13,9.13,1.164293,0,0.165%,0.165%
1988-01-04,9.17,9.17,9.17,9.17,1.169392,0,0.438%,0.438%
1988-01-05,9.19,9.19,9.19,9.19,1.171943,0,0.218%,0.218%
1988-01-06,9.13,9.13,9.13,9.13,1.164293,0,-0.653%,-0.653%
1988-01-07,9.11,9.11,9.11,9.11,1.16174,0,-0.219%,-0.219%
1988-01-08,9.03,9.03,9.03,9.03,1.151539,0,-0.878%,-0.878%
1988-01-11,9.06,9.06,9.06,9.06,1.155364,0,0.332%,0.332%
1988-01-12,9.07,9.07,9.07,9.07,1.156641,0,0.111%,0.111%
1988-01-13,9.09,9.09,9.09,9.09,1.15919,0,0.220%,0.220%
1988-01-14,9.09,9.09,9.09,9.09,1.15919,0,0.000%,0.000%
1988-01-15,9.27,9.27,9.27,9.27,1.182146,0,1.980%,1.980%
1988-01-18,9.27,9.27,9.27,9.27,1.182146,0,0.000%,0.000%
1988-01-19,9.25,9.25,9.25,9.25,1.179595,0,-0.216%,-0.216%
